UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Vibration Levels ,Operational Hours,Failure Type
68,H29481,H,298.8,308.9,1466,44.1,24.42903226,29.34,No Failure
69,L47248,L,298.8,308.9,1527,32.4,24.14758065,29.75,No Failure
70,L47249,L,298.9,309,1410,65.7,42,47.00,Power Failure
71,M14930,M,298.9,309,1924,22.6,52,30.58,No Failure
72,L47251,L,298.9,309.1,1452,45.5,44,30.99,No Failure
73,L47252,L,298.9,309.1,1369,44.4,52,31.40,No Failure
74,L47253,L,299,309.1,1592,35,44,55.00,Tool Wear Failure
75,L47254,L,298.9,309,1601,32.3,35,57.00,Tool Wear Failure
76,L47255,L,298.8,308.9,1379,46.7,36,84.00,Tool Wear Failure
77,L47256,L,298.8,308.9,1461,47.9,33,47.00,Tool Wear Failure
78,L47257,L,298.8,308.9,1455,41.3,23,56.00,Tool Wear Failure
79,L47258,L,298.8,308.9,1398,51.5,45,96.00,Tool Wear Failure
80,L47259,L,298.8,308.9,1402,37.9,55,55.00,Tool Wear Failure
81,H29494,H,298.8,308.8,1445,49.9,45,24.00,No Failure
82,L47261,L,298.9,308.9,1450,47.5,34,22.00,No Failure
83,L47262,L,298.9,308.9,1453,40.8,34,15.00,No Failure
84,L47263,L,299,309,1469,40.1,23,15.00,No Failure
85,L47264,L,298.9,308.9,1422,47.6,42,11.00,No Failure
86,M14945,M,299,309,1804,26.8,54,10.00,No Failure
87,H29500,H,299,309,1436,43.9,55,14.00,No Failure
88,L47267,L,299,309,1544,31.8,54,25.00,No Failure
89,M14948,M,299,309,1419,45.2,34,22.00,No Failure
90,M14949,M,298.9,308.9,1487,39.5,33,27.00,No Failure
91,L47270,L,298.9,308.9,1753,25.8,23,19.00,No Failure
92,L47271,L,298.9,308.9,1830,24.9,24,20.67,No Failure
93,M14952,M,298.9,308.9,1727,27.1,36,21.03,No Failure
94,L47273,L,299.1,309,1450,43,34,21.38,No Failure
95,L47274,L,299,308.9,1622,31.9,35,21.74,No Failure
96,M14955,M,299,309,1351,52.2,36,22.09,No Failure
97,M14956,M,299,309,1575,35.3,37,22.45,No Failure
98,M14957,M,298.9,308.9,1750,29.9,38,22.80,No Failure
99,L47278,L,298.9,308.8,1529,32.7,39,23.15,No Failure
100,L47279,L,298.8,308.8,1523,44.4,40,23.51,No Failure
101,L47280,L,298.8,308.9,1852,25,42,23.86,No Failure
102,L47281,L,298.8,308.8,1991,20.7,52,24.22,No Failure
103,L47282,L,298.8,308.8,1555,40.6,44,24.57,No Failure
104,M14963,M,298.8,308.8,1441,40.5,52,24.93,No Failure
105,L47284,L,298.8,308.7,1450,43.4,44,25.28,No Failure
106,L47285,L,298.8,308.7,1591,31.1,35,25.64,No Failure
107,L47286,L,298.8,308.7,1445,48.5,36,25.99,No Failure
108,M14967,M,298.8,308.8,1497,46.8,33,26.35,No Failure
109,H29522,H,298.9,308.8,1621,32.7,23,26.70,No Failure
110,L47289,L,298.9,308.7,1572,34.1,45,27.05,No Failure
111,L47290,L,298.8,308.6,1872,22.5,55,27.41,No Failure
112,H29525,H,298.7,308.6,1499,43.5,45,27.76,No Failure
113,M14972,M,298.8,308.7,1498,39.5,34,28.12,No Failure
114,M14973,M,298.8,308.6,1486,41.9,34,28.47,No Failure
115,L47294,L,298.8,308.6,1680,29.4,23,28.83,No Failure
116,L47295,L,298.8,308.6,1431,45.7,42,29.18,No Failure
117,L47296,L,298.9,308.7,1564,34.1,54,29.54,No Failure
118,L47297,L,298.8,308.6,1599,33,55,29.89,No Failure
119,M14978,M,298.8,308.6,1707,28.1,54,30.25,No Failure
120,L47299,L,298.7,308.5,1467,40.7,34,30.60,No Failure
121,L47300,L,298.9,308.7,1433,44.7,33,30.95,No Failure
122,L47301,L,298.9,308.7,1558,41.2,23,31.31,No Failure
123,L47302,L,299,308.8,1310,50.7,24,31.66,No Failure
124,L47303,L,298.9,308.7,1546,43.4,36,32.02,No Failure
125,L47304,L,298.9,308.7,1727,29.4,34,32.37,No Failure
126,L47305,L,298.9,308.6,1560,32.2,35,32.73,No Failure
127,L47306,L,299,308.6,1329,60.5,36,33.08,No Failure
128,L47307,L,298.9,308.6,1413,46.5,37,33.44,No Failure
129,L47308,L,299,308.6,1587,38.6,38,33.79,No Failure
130,L47309,L,298.9,308.5,1559,34.3,39,34.15,No Failure
131,L47310,L,298.8,308.4,1473,41.1,40,34.50,No Failure
132,L47311,L,298.8,308.4,1737,27.7,42,34.85,No Failure
133,M14992,M,298.7,308.4,1441,43.2,52,35.21,No Failure
134,M14993,M,298.7,308.4,1430,49.6,44,35.56,No Failure
135,L47314,L,298.8,308.4,1369,53,52,35.92,No Failure
136,M14995,M,298.8,308.5,1711,28.5,44,36.27,No Failure
137,H29550,H,298.7,308.5,1420,45.7,35,36.63,No Failure
138,L47317,L,298.7,308.6,1297,55.3,36,36.98,No Failure
139,H29552,H,298.8,308.6,1449,49.4,33,37.34,No Failure
140,L47319,L,298.8,308.6,1268,55.8,23,37.69,No Failure
141,L47320,L,298.8,308.6,1511,36.1,45,38.05,No Failure
142,L47321,L,298.7,308.5,1544,35.2,55,38.40,No Failure
143,M15002,M,298.6,308.4,1778,28.2,45,38.75,No Failure
144,H29557,H,298.6,308.4,1407,50.5,34,39.11,No Failure
145,M15004,M,298.6,308.4,1391,42.4,34,39.46,No Failure
146,L47325,L,298.5,308.4,1513,33.6,23,39.82,No Failure
147,H29560,H,298.5,308.4,1612,36.1,42,40.17,No Failure
148,L47327,L,298.4,308.4,1515,40.1,54,40.53,No Failure
149,M15008,M,298.3,308.3,1379,48,55,40.88,No Failure
150,L47329,L,298.4,308.3,1473,39.9,54,41.24,No Failure
151,L47330,L,298.4,308.3,1422,42.7,34,41.59,No Failure
152,M15011,M,298.4,308.2,1463,37.6,33,41.95,No Failure
153,M15012,M,298.4,308.2,1584,41,23,42.30,No Failure
154,L47333,L,298.4,308.2,1850,27,24,42.65,No Failure
155,L47334,L,298.4,308.2,1528,36.2,36,43.01,No Failure
156,H29569,H,298.4,308.2,1987,19.8,34,43.36,No Failure
157,M15016,M,298.4,308.1,1495,46,35,43.72,No Failure
158,H29571,H,298.4,308.2,1478,43.5,36,44.07,No Failure
159,M15018,M,298.4,308.2,1499,40,37,44.43,No Failure
160,L47339,L,298.4,308.2,1471,47,38,44.78,No Failure
161,L47340,L,298.4,308.2,1282,60.7,39,45.14,Overstrain Failure
162,L47341,L,298.3,308.1,1412,52.3,40,45.49,Overstrain Failure
163,L47342,L,298.3,308.1,1586,35.5,42,45.85,No Failure
164,M15023,M,298.4,308.2,1468,43.8,52,46.20,No Failure
165,M15024,M,298.5,308.3,1440,43.6,44,46.55,No Failure
166,L47345,L,298.5,308.4,1733,26,52,46.91,No Failure
167,H29580,H,298.4,308.2,1612,32.6,44,47.26,No Failure
168,H29581,H,298.4,308.3,1458,42.9,35,47.62,No Failure
169,L47348,L,298.4,308.3,1433,62.3,36,47.97,Power Failure
170,L47349,L,298.4,308.3,1318,59.1,33,48.33,No Failure
171,M15030,M,298.4,308.2,1610,35,23,48.68,No Failure
172,L47351,L,298.2,308.1,1462,50.8,45,49.04,Tool Wear Failure
173,M15032,M,298.1,308,1924,20.8,55,49.39,Tool Wear Failure
174,M15033,M,298.2,308,1591,33.7,45,49.75,Tool Wear Failure
175,L47354,L,298.2,308.1,1306,58.3,34,50.10,No Failure
176,L47355,L,298.2,308.1,1382,43.5,34,50.45,No Failure
177,L47356,L,298.2,308.1,1618,34.7,23,50.81,No Failure
178,L47357,L,298.2,308.2,1988,21.4,42,51.16,No Failure
179,L47358,L,298.2,308.2,1436,50.2,54,51.52,No Failure
180,L47359,L,298.2,308.3,1304,49.8,55,51.87,No Failure
181,L47360,L,298.2,308.3,1475,49.9,54,52.23,No Failure
182,H29595,H,298.2,308.3,1824,24.2,34,52.58,No Failure
183,M15042,M,298.1,308.2,1342,48.1,33,52.94,No Failure
184,L47363,L,298.1,308.2,1485,40.7,23,53.29,No Failure
185,L47364,L,298.2,308.2,1667,30.6,24,53.65,No Failure
186,L47365,L,298.2,308.2,1446,38.2,36,54.00,No Failure
187,L47366,L,298.1,308.3,1301,56,34,54.35,No Failure
188,L47367,L,298.2,308.4,1379,43.1,35,54.71,No Failure
189,L47368,L,298.3,308.5,1606,33.6,36,55.06,No Failure
190,M15049,M,298.3,308.4,1539,43.4,37,55.42,No Failure
191,L47370,L,298.2,308.4,1477,49.9,38,55.77,No Failure
192,L47371,L,298.2,308.4,1666,34.6,39,56.13,No Failure
193,H29606,H,298.2,308.4,1398,51.8,40,56.48,No Failure
194,H29607,H,298.2,308.4,1678,34.6,42,56.84,No Failure
195,M15054,M,298.2,308.5,2678,10.7,52,57.19,No Failure
196,L47375,L,298.3,308.5,1453,42.9,44,57.55,No Failure
197,H29610,H,298.3,308.6,1432,49.5,52,57.90,No Failure
198,M15057,M,298.4,308.6,1527,40.9,44,58.25,No Failure
199,L47378,L,298.4,308.7,1588,35,35,58.61,No Failure
200,L47379,L,298.4,308.6,1433,47.1,36,58.96,No Failure
201,L47380,L,298.4,308.6,1609,35,33,59.32,No Failure
202,L47381,L,298.3,308.5,1575,41.2,23,59.67,No Failure
203,M15062,M,298.4,308.5,1636,35.7,45,60.03,No Failure
204,L47383,L,298.4,308.5,1490,37.9,55,60.38,No Failure
205,L47384,L,298.4,308.5,1741,32.8,45,60.74,No Failure
206,M15065,M,298.5,308.6,1344,53,34,61.09,No Failure
207,L47386,L,298.5,308.7,1609,35.3,34,61.45,No Failure
208,M15067,M,298.4,308.7,1421,60.7,23,61.80,No Failure
209,L47388,L,298.4,308.6,1591,36.7,42,62.15,No Failure
210,L47389,L,298.4,308.6,1477,44,54,62.51,No Failure
211,L47390,L,298.4,308.7,1523,36.1,55,62.86,No Failure
212,L47391,L,298.5,308.7,1575,33.9,54,63.22,No Failure
213,H29626,H,298.4,308.7,1344,52.9,34,63.57,No Failure
214,L47393,L,298.4,308.7,1386,44.9,33,63.93,No Failure
215,M15074,M,298.3,308.6,1589,37.1,23,64.28,No Failure
216,L47395,L,298.3,308.6,1548,40.3,24,64.64,No Failure
217,L47396,L,298.3,308.6,1499,38.3,36,64.99,No Failure
218,L47397,L,298.3,308.5,1664,31.6,34,65.35,No Failure
219,L47398,L,298.3,308.6,1447,38.1,35,65.70,No Failure
220,M15079,M,298.3,308.5,1434,46.2,36,66.05,No Failure
221,L47400,L,298.3,308.5,1416,52.7,37,66.41,No Failure
222,H29635,H,298.4,308.5,1827,24.3,38,66.76,No Failure
223,L47402,L,298.4,308.6,1304,45,39,67.12,No Failure
224,L47403,L,298.4,308.6,1569,34.4,40,67.47,No Failure
225,L47404,L,298.3,308.6,1584,29.3,34.56129032,67.83,No Failure
226,L47405,L,298.3,308.5,1362,53.8,34.27983871,68.18,No Failure
227,L47406,L,298.3,308.4,1329,49.2,33.9983871,68.54,No Failure
228,L47407,L,298.3,308.5,1539,36.1,33.71693548,68.89,No Failure
229,M15088,M,298.3,308.5,1629,37.1,33.43548387,69.25,No Failure
230,L47409,L,298.3,308.5,1538,32.2,33.15403226,69.60,No Failure
231,L47410,L,298.3,308.6,1570,34.8,32.87258065,69.95,No Failure
232,L47411,L,298.3,308.4,1408,43.1,32.59112903,70.31,No Failure
233,L47412,L,298.2,308.4,1424,47.6,32.30967742,70.66,No Failure
234,L47413,L,298.2,308.4,1512,34.9,32.02822581,71.02,No Failure
235,L47414,L,298.2,308.4,1478,42.9,31.74677419,71.37,No Failure
236,M15095,M,298.1,308.3,1680,33.7,31.46532258,71.73,No Failure
237,L47416,L,298.1,308.3,1495,38.7,31.18387097,72.08,No Failure
238,M15097,M,298,308.1,1552,36.6,30.90241935,72.44,No Failure
239,L47418,L,297.9,308.1,1393,50.3,30.62096774,72.79,No Failure
240,L47419,L,298,308.2,1611,30.6,30.33951613,73.15,No Failure
241,M15100,M,298,308.1,1339,51.6,30.05806452,73.50,No Failure
242,L47421,L,298,308.1,1777,24.3,29.7766129,73.85,No Failure
243,L47422,L,298,308.2,1348,58.8,29.49516129,74.21,No Failure
244,L47423,L,298,308.2,1442,44.1,29.21370968,74.56,No Failure
245,M15104,M,298,308.2,1395,49.1,28.93225806,74.92,No Failure
246,M15105,M,297.9,308.1,1627,31.4,28.65080645,75.27,No Failure
247,L47426,L,297.9,308.1,1585,33.5,28.36935484,75.63,No Failure
248,L47427,L,298,308.2,1469,45.5,28.08790323,75.98,No Failure
249,L47428,L,298,308.3,1362,56.8,27.80645161,76.34,No Failure
250,L47429,L,298,308.3,1405,56.2,27.525,76.69,No Failure
251,L47430,L,298,308.3,1662,32.7,27.24354839,77.05,No Failure
252,M15111,M,298,308.2,1466,42.6,26.96209677,77.40,No Failure
253,L47432,L,298,308.2,1620,35.8,26.68064516,77.75,No Failure
254,L47433,L,298,308.2,1357,48.2,26.39919355,78.11,No Failure
255,L47434,L,298,308.2,1514,37.9,26.11774194,78.46,Overstrain Failure
256,L47435,L,298,308.2,1489,40.4,25.83629032,78.82,Overstrain Failure
257,L47436,L,298.1,308.3,1331,63,25.55483871,79.17,No Failure
258,L47437,L,298,308,1615,29.5,25.2733871,79.53,No Failure
259,L47438,L,298.1,308.2,1482,37.9,24.99193548,79.88,No Failure
260,M15119,M,298.1,308.2,1420,63.9,24.71048387,80.24,No Failure
261,M15120,M,298.2,308.3,1522,49.1,24.42903226,80.59,No Failure
262,L47441,L,298.1,308.2,1654,32.1,24.14758065,80.95,No Failure
263,M15122,M,298.1,308.2,1736,26.8,42,81.30,Power Failure
264,M15123,M,298,308.1,1587,32.3,52,81.65,No Failure
265,L47444,L,298.1,308.2,1390,47.5,44,82.01,No Failure
266,L47445,L,298,308.1,1454,37.1,52,82.36,Tool Wear Failure
267,H29680,H,298,308.1,1440,43.7,44,82.72,Tool Wear Failure
268,L47447,L,297.9,308,1954,21.1,35,83.07,Tool Wear Failure
269,H29682,H,297.9,308,1800,24.8,36,83.43,No Failure
270,L47449,L,298,308,1524,37,33,83.78,No Failure
271,H29684,H,298,308,1520,39.6,23,84.14,No Failure
272,M15131,M,298.1,308.1,1452,40.8,45,84.49,No Failure
273,L47452,L,298.1,308.1,1484,40.4,55,84.85,No Failure
274,L47453,L,298.1,308,1426,46,45,85.20,No Failure
275,L47454,L,298.1,308,1652,28.5,34,85.55,No Failure
276,L47455,L,298,308,1401,54.7,34,85.91,No Failure
277,M15136,M,298,307.9,1750,26.6,23,86.26,No Failure
278,H29691,H,298,308,1479,50.7,42,86.62,No Failure
279,M15138,M,298,308,1620,29.4,54,86.97,No Failure
280,L47459,L,298,308.1,1819,23.4,55,87.33,No Failure
281,M15140,M,298.1,308.1,1456,43.7,54,87.68,No Failure
282,L47461,L,298.1,308,1626,36.5,34,88.04,No Failure
283,M15142,M,298.1,308.1,1390,49.8,33,88.39,No Failure
284,L47463,L,298.2,308.2,1469,43,23,88.75,No Failure
285,L47464,L,298.2,308.3,2051,19.2,24,89.10,No Failure
286,L47465,L,298.2,308.3,1568,36,36,89.45,No Failure
287,L47466,L,298.2,308.3,1589,33.2,34,89.81,No Failure
288,L47467,L,298.2,308.3,1805,31.6,35,90.16,No Failure
289,H29702,H,298.2,308.4,1385,42.2,36,90.52,No Failure
290,L47469,L,298.1,308.4,1436,46.7,37,90.87,No Failure
291,L47470,L,298.1,308.4,1438,45.6,38,91.23,No Failure
292,L47471,L,298,308.3,1473,42.6,39,91.58,No Failure
293,L47472,L,298.1,308.4,1335,40.2,40,91.94,No Failure
294,H29707,H,298.1,308.5,1392,44.8,42,92.29,No Failure
295,M15154,M,298.1,308.5,1372,51.1,52,92.65,No Failure
296,M15155,M,298.1,308.6,1716,30.7,44,93.00,No Failure
297,L47476,L,298,308.5,1395,46.2,52,93.35,No Failure
298,L47477,L,298,308.5,1713,25.3,44,93.71,No Failure
299,H29712,H,297.9,308.5,2129,18.7,35,94.06,No Failure
300,M15159,M,297.8,308.3,1567,35.6,36,94.42,No Failure
301,L47480,L,297.8,308.4,1622,38.3,33,94.77,No Failure
302,L47481,L,297.7,308.4,1740,27.1,23,95.13,No Failure
303,H29716,H,297.8,308.4,1512,35.1,45,95.48,No Failure
304,M15163,M,297.8,308.4,1479,43.5,55,95.84,No Failure
305,L47484,L,297.8,308.4,1737,27.5,45,96.19,No Failure
306,L47485,L,297.8,308.4,2129,19.2,34,96.55,No Failure
307,L47486,L,297.8,308.4,1374,47.1,34,96.90,No Failure
308,M15167,M,297.8,308.4,1579,36.6,23,97.25,No Failure
309,L47488,L,297.9,308.5,1305,47.2,42,97.61,No Failure
310,M15169,M,297.9,308.5,1449,40.8,54,97.96,No Failure
311,H29724,H,298,308.6,1526,41.8,55,98.32,No Failure
312,M15171,M,298,308.6,1453,44.1,54,98.67,No Failure
313,L47492,L,297.9,308.6,1468,36,34,99.03,No Failure
314,L47493,L,298,308.6,1313,50.8,33,99.38,No Failure
315,M15174,M,297.9,308.5,1300,53,23,99.74,No Failure
316,L47495,L,297.9,308.4,1646,40.6,24,100.09,No Failure
317,L47496,L,297.8,308.4,1714,33.2,36,100.45,No Failure
318,L47497,L,297.8,308.4,1685,28.4,34,100.80,No Failure
319,L47498,L,297.8,308.4,1512,39.9,35,101.15,No Failure
320,L47499,L,297.8,308.4,1612,32.1,36,101.51,No Failure
321,H29734,H,297.8,308.4,1550,38.2,37,101.86,No Failure
322,L47501,L,297.8,308.4,1518,32.5,38,102.22,No Failure
323,L47502,L,297.8,308.5,1448,40,39,102.57,No Failure
324,L47503,L,297.8,308.5,1561,46.3,40,102.93,No Failure
325,M15184,M,297.8,308.5,1488,41.9,42,103.28,No Failure
326,L47505,L,297.8,308.5,1699,27.8,52,103.64,No Failure
327,L47506,L,297.7,308.5,1501,41.4,44,103.99,No Failure
328,L47507,L,297.7,308.5,1373,56.7,52,104.35,No Failure
329,H29742,H,297.6,308.4,1703,31.4,44,104.70,No Failure
330,H29743,H,297.7,308.5,1720,29.9,35,105.05,No Failure
331,M15190,M,297.6,308.4,1398,41.9,36,105.41,No Failure
332,M15191,M,297.6,308.4,1391,51.9,33,105.76,No Failure
333,M15192,M,297.6,308.3,1538,40.2,23,106.12,No Failure
334,L47513,L,297.5,308.2,1647,31.3,45,106.47,No Failure
335,M15194,M,297.5,308.1,1469,44.8,55,106.83,No Failure
336,L47515,L,297.4,308.1,1749,25.9,45,107.18,No Failure
337,M15196,M,297.6,308.2,1995,20.5,34,107.54,No Failure
338,L47517,L,297.6,308.3,1742,27.7,34,107.89,No Failure
339,L47518,L,297.5,308.2,1563,38.2,23,108.25,No Failure
340,M15199,M,297.5,308.2,1713,32.2,42,108.60,No Failure
341,L47520,L,297.4,308.1,1474,39.4,54,108.95,No Failure
342,M15201,M,297.4,308.2,1530,32.6,55,109.31,No Failure
343,L47522,L,297.4,308.2,1471,46.5,54,109.66,No Failure
344,L47523,L,297.5,308.3,1388,48.6,34,110.02,No Failure
345,M15204,M,297.5,308.2,2448,13.8,33,110.37,No Failure
346,L47525,L,297.5,308.3,1585,32.9,23,110.73,No Failure
347,M15206,M,297.5,308.3,1459,45.2,24,111.08,No Failure
348,L47527,L,297.5,308.3,1544,40.8,36,111.44,No Failure
349,L47528,L,297.6,308.3,1617,31.7,34,111.79,Overstrain Failure
350,L47529,L,297.6,308.3,1595,34.3,35,112.15,Overstrain Failure
351,H29764,H,297.6,308.3,1400,44.3,36,112.50,No Failure
352,M15211,M,297.6,308.4,1611,31,37,112.85,No Failure
353,M15212,M,297.6,308.4,1507,46,38,113.21,No Failure
354,H29767,H,297.5,308.3,1674,30,39,113.56,No Failure
355,L47534,L,297.6,308.3,1658,34.3,40,113.92,No Failure
356,L47535,L,297.6,308.3,1623,36.9,42,114.27,No Failure
357,M15216,M,297.6,308.4,1398,48.9,52,114.63,Power Failure
358,L47537,L,297.6,308.4,1517,34.2,44,114.98,No Failure
359,M15218,M,297.6,308.3,1467,36.7,52,115.34,No Failure
360,M15219,M,297.6,308.3,1567,34.6,44,115.69,Tool Wear Failure
361,M15220,M,297.5,308.3,1521,38.2,35,116.05,Tool Wear Failure
362,L47541,L,297.5,308.3,1596,36.8,36,116.40,Tool Wear Failure
363,H29776,H,297.6,308.3,1640,30.9,33,116.75,No Failure
364,L47543,L,297.6,308.3,1438,47.8,23,117.11,No Failure
365,L47544,L,297.6,308.4,1407,55.2,45,117.46,No Failure
366,L47545,L,297.6,308.4,1353,57.5,55,117.82,No Failure
367,M15226,M,297.6,308.5,1552,40.9,45,118.17,No Failure
368,M15227,M,297.6,308.4,1569,38.3,34,118.53,No Failure
369,L47548,L,297.5,308.4,1489,39.5,34,118.88,No Failure
370,H29783,H,297.5,308.4,1587,36.1,23,119.24,No Failure
371,M15230,M,297.5,308.3,1622,37.2,42,119.59,No Failure
372,L47551,L,297.5,308.4,1604,38.1,54,119.95,No Failure
373,M15232,M,297.4,308.3,1405,51.7,55,120.30,No Failure
374,L47553,L,297.4,308.3,1412,42,54,120.65,No Failure
375,L47554,L,297.4,308.3,1431,43,34,121.01,No Failure
376,L47555,L,297.4,308.2,1533,37.4,33,121.36,No Failure
377,M15236,M,297.4,308.2,1401,51.9,23,121.72,No Failure
378,M15237,M,297.4,308.2,1424,53.9,24,122.07,No Failure
379,L47558,L,297.3,308.2,1754,29.4,36,122.43,No Failure
380,L47559,L,297.3,308.2,1754,26.8,34,122.78,No Failure
381,L47560,L,297.5,308.3,2564,12.8,35,123.14,No Failure
382,L47561,L,297.5,308.5,1546,40.4,36,123.49,No Failure
383,L47562,L,297.5,308.5,1335,48,37,123.85,No Failure
384,M15243,M,297.5,308.6,1842,27,38,124.20,No Failure
385,L47564,L,297.5,308.5,1712,26.8,39,124.55,No Failure
386,M15245,M,297.6,308.6,1414,45.4,40,124.91,No Failure
387,L47566,L,297.6,308.7,1319,50.9,42,125.26,No Failure
388,L47567,L,297.7,308.7,1249,60.4,52,125.62,No Failure
389,L47568,L,297.6,308.7,1455,48.2,44,125.97,No Failure
390,M15249,M,297.6,308.7,1408,54.8,52,126.33,No Failure
391,L47570,L,297.6,308.7,1460,46.7,44,126.68,No Failure
392,L47571,L,297.6,308.6,1491,38.1,35,127.04,No Failure
393,M15252,M,297.6,308.5,1490,43.4,36,127.39,No Failure
394,M15253,M,297.5,308.4,1350,52.2,33,127.75,No Failure
395,L47574,L,297.5,308.4,1528,39.9,23,128.10,No Failure
396,L47575,L,297.4,308.3,1571,37.7,45,128.45,No Failure
397,L47576,L,297.4,308.3,1490,42.6,55,128.81,No Failure
398,M15257,M,297.4,308.3,1774,28.9,45,129.16,No Failure
399,H29812,H,297.4,308.3,1502,43.6,34,129.52,No Failure
400,L47579,L,297.4,308.4,1392,49.7,34,129.87,No Failure
401,L47580,L,297.4,308.5,2100,16.9,23,130.23,No Failure
402,L47581,L,297.5,308.5,1722,30.4,42,130.58,No Failure
